title,id,imdb_id,tmdb_id,adult,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
The Bourne Identity,the+bourne+identity+1988,tt0094791,8677,0,1988-05-08,0,180,6.1,28,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
A Close Shave,a+close+shave+1995,tt0112691,532,0,1995-12-24,0,30,7.5,223,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,borat+cultural+learnings+of+america+for+make+benefit+glorious+nation+of+kazakhstan+2006,tt0443453,496,0,2006-11-01,261572744,82,6.5,1617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Meaning of Life,the+meaning+of+life+1983,tt0085959,4543,0,1983-03-31,0,107,7.2,506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul,paul+2011,tt1092026,39513,0,2011-02-14,97552050,104,6.5,1825,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Saint,the+saint+1997,tt0120053,10003,0,1997-04-03,118063304,116,5.9,310,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
L.A. Story,l.a.+story+1991,tt0102250,2107,0,1991-02-08,0,95,6.4,88,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Cyrano de Bergerac,cyrano+de+bergerac+1990,tt0099334,11673,0,1990-03-28,0,137,6.8,131,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Jeepers Creepers,jeepers+creepers+2001,tt0263488,8922,0,2001-07-01,59217789,90,6.1,731,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Woman in Red,the+woman+in+red+1984,tt0088414,5968,0,1984-08-15,0,87,5.6,101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Black Cauldron,the+black+cauldron+1985,tt0088814,10957,0,1985-07-24,21288692,80,6.5,228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The American President,the+american+president+1995,tt0112346,9087,0,1995-11-17,107879496,106,6.5,199,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
One Hour Photo,one+hour+photo+2002,tt0265459,9357,0,2002-08-21,52223306,96,6.6,444,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Fright Night,fright+night+1985,tt0089175,11797,0,1985-08-02,24922237,106,6.9,279,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Dictator,the+dictator+2012,tt1645170,76493,0,2012-05-15,179379533,83,5.9,1789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team America: World Police,team+america+world+police+2004,tt0372588,3989,0,2004-10-10,50907422,98,6.6,667,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Instinct,instinct+1999,tt0128278,12117,0,1999-06-04,0,126,6.3,149,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
The Fisher King,the+fisher+king+1991,tt0101889,177,0,1991-09-09,41895491,137,7.2,346,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mighty Morphin Power Rangers: The Movie,mighty+morphin+power+rangers+the+movie+1995,tt0113820,9070,0,1995-06-30,66000000,92,5.2,153,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Ghost World,ghost+world+2001,tt0162346,1548,0,2001-07-20,0,111,7.1,433,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Six Degrees of Separation,six+degrees+of+separation+1993,tt0108149,23210,0,1993-12-08,0,112,6.5,75,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Big Fish,big+fish+2003,tt0319061,587,0,2003-12-25,122919055,125,7.6,2064,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Lost in Translation,lost+in+translation+2003,tt0335266,153,0,2003-08-31,119723856,102,7.3,1943,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoolander,zoolander+2001,tt0196229,9398,0,2001-09-28,60780981,89,6.1,1363,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wings of Desire,wings+of+desire+1987,tt0093191,144,0,1987-01-01,3200000,128,7.5,256,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Honeymoon in Vegas,honeymoon+in+vegas+1992,tt0104438,12518,0,1992-08-28,0,96,5.5,85,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Harry Potter and the Half-Blood Prince,harry+potter+and+the+half-blood+prince+2009,tt0417741,767,0,2009-07-07,933959197,153,7.4,5435,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Englishman Who Went Up a Hill But Came Down a Mountain,the+englishman+who+went+up+a+hill+but+came+down+a+mountain+1995,tt0112966,10612,0,1995-05-12,0,99,6.1,83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10 000 BC,10_000+bc+2008,tt0443649,7840,0,2008-02-22,266000000,109,5.1,934,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Citizen Kane,citizen+kane+1941,tt0033467,15,0,1941-04-30,23217674,119,8.0,1244,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Long Kiss Goodnight,the+long+kiss+goodnight+1996,tt0116908,11412,0,1996-10-11,89456761,120,6.4,323,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Gone with the Wind,gone+with+the+wind+1939,tt0031381,770,0,1939-12-15,400176459,238,7.7,995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Santa Claus: The Movie,santa+claus+the+movie+1985,tt0089961,13764,0,1985-10-29,23717291,108,6.1,58,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
The Whole Nine Yards,the+whole+nine+yards+2000,tt0190138,2069,0,2000-02-18,106371651,98,6.3,540,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard,willard+2003,tt0310357,10929,0,2003-03-14,0,100,5.8,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Under The Domim Tree,under+the+domim+tree+1994,tt0109751,117730,0,1994-01-01,0,0,6.5,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25th Hour,25th+hour+2002,tt0307901,1429,0,2002-12-16,13060843,135,7.2,640,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bourne Ultimatum,the+bourne+ultimatum+2007,tt0440963,2503,0,2007-08-03,442824138,115,7.3,2938,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Ridicule,ridicule+1996,tt0117477,12709,0,1996-05-09,2503829,102,7.4,30,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Romy and Michele's High School Reunion,romy+and+micheles+high+school+reunion+1997,tt0120032,9611,0,1997-04-25,29235353,92,6.0,160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Fair Lady,my+fair+lady+1964,tt0058385,11113,0,1964-10-21,72070731,170,7.4,361,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Swimming Pool,swimming+pool+2003,tt0324133,302,0,2003-05-18,22441323,102,6.5,154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Slacker,slacker+1990,tt0102943,14022,0,1990-07-27,0,97,6.4,79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mean Streets,mean+streets+1973,tt0070379,203,0,1973-10-02,3000000,110,7.2,359,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Missing,the+missing+2003,tt0338188,12146,0,2003-11-26,0,135,6.1,162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Young Adult,young+adult+2011,tt1625346,57157,0,2011-12-16,22939027,94,5.6,368,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild at Heart,wild+at+heart+1990,tt0100935,483,0,1990-05-01,14560247,124,7.0,341,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tower Heist,tower+heist+2011,tt0471042,59108,0,2011-11-02,152930623,104,5.8,945,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 3,toy+story+3+2010,tt0435761,10193,0,2010-06-16,1066969703,103,7.6,4710,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Immortal Beloved,immortal+beloved+1994,tt0110116,13701,0,1994-12-16,0,121,6.9,90,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Dirty Pretty Things,dirty+pretty+things+2002,tt0301199,3472,0,2002-09-05,0,97,6.8,135,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
21 Jump Street,21+jump+street+2012,tt1232829,64688,0,2012-03-12,201585328,109,6.7,4151,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An Affair to Remember,an+affair+to+remember+1957,tt0050105,8356,0,1957-07-11,0,111,7.1,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Blue Angel,the+blue+angel+1930,tt0020697,228,0,1930-03-31,0,108,7.4,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Great Mouse Detective,the+great+mouse+detective+1986,tt0091149,9994,0,1986-07-02,38625550,74,6.9,334,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Death Becomes Her,death+becomes+her+1992,tt0104070,9374,0,1992-07-30,149022650,104,6.3,655,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Made in America,made+in+america+1993,tt0107478,12121,0,1993-05-27,0,111,5.3,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top Hat,top+hat+1935,tt0027125,3080,0,1935-09-06,3202000,101,7.4,62,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
The Greatest Show on Earth,the+greatest+show+on+earth+1952,tt0044672,27191,0,1952-01-10,36000000,152,6.6,51,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Lord of the Rings,the+lord+of+the+rings+1978,tt0077869,123,0,1978-11-15,30471420,132,6.1,187,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Spider-Man,spider-man+2002,tt0145487,557,0,2002-05-01,821708551,121,6.8,5398,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fantastic Voyage,fantastic+voyage+1966,tt0060397,2161,0,1966-08-24,12000000,100,6.7,108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hairspray,hairspray+2007,tt0427327,2976,0,2007-07-13,90450008,117,6.5,738,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Pat and Mike,pat+and+mike+1952,tt0045012,33575,0,1952-06-13,0,95,5.9,18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Avatar,avatar+2009,tt0499549,19995,0,2009-12-10,2787965087,162,7.2,12114,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Love and Death,love+and+death+1975,tt0073312,11686,0,1975-06-10,20173742,85,7.5,176,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Man Of The Century,man+of+the+century+1999,tt0138537,98480,0,1999-10-29,33031,80,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
American Pie 2,american+pie+2+2001,tt0252866,2770,0,2001-08-10,287553595,108,6.0,1375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mulholland Drive,mulholland+drive+2001,tt0166924,1018,0,2001-05-16,20117339,147,7.7,1517,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
The Manchurian Candidate,the+manchurian+candidate+1962,tt0056218,982,0,1962-10-24,96105910,126,7.7,188,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The 7th Voyage of Sinbad,the+7th+voyage+of+sinbad+1958,tt0051337,15515,0,1958-12-05,0,88,6.8,52,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Man on the Moon,man+on+the+moon+1999,tt0125664,1850,0,1999-12-22,47434430,118,6.9,444,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Babadook,the+babadook+2014,tt2321549,242224,0,2014-05-22,6676471,93,6.5,1890,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
American Movie,american+movie+1999,tt0181288,14242,0,1999-11-05,0,107,7.7,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enlightenment Guaranteed,enlightenment+guaranteed+2000,tt0177749,29507,0,2000-01-20,0,109,6.8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creature from the Black Lagoon,creature+from+the+black+lagoon+1954,tt0046876,10973,0,1954-03-05,1300000,79,6.7,152,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Killing Fields,the+killing+fields+1984,tt0087553,625,0,1984-11-02,34700291,141,7.5,180,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Rosie,rosie+1998,tt0163185,103793,0,1998-11-18,0,0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Why We Fight,why+we+fight+2005,tt0436971,14286,0,2005-01-01,0,98,7.8,33,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Arrow,the+arrow+1997,tt0118641,19665,0,1997-01-12,0,180,4.7,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Glory Road,glory+road+2006,tt0385726,9918,0,2006-01-13,42647449,118,7.2,145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnival of Souls,carnival+of+souls+1962,tt0055830,16093,0,1962-09-26,0,78,6.7,94,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Freddy Got Fingered,freddy+got+fingered+2001,tt0240515,13166,0,2001-04-18,0,87,4.5,117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agnes Browne,agnes+browne+1999,tt0160509,15506,0,1999-11-08,0,92,6.3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Duck Soup,duck+soup+1933,tt0023969,3063,0,1933-11-17,0,68,7.6,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chamber,the+chamber+1996,tt0115862,6346,0,1996-10-11,22540359,113,5.9,62,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Napoleon Dynamite,napoleon+dynamite+2004,tt0374900,8193,0,2004-06-11,46118097,95,6.7,567,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agent Cody Banks,agent+cody+banks+2003,tt0313911,10923,0,2003-03-14,58795814,102,5.0,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne's World 2,waynes+world+2+1993,tt0108525,8873,0,1993-12-10,47965000,95,5.8,281,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Hitchhiker's Guide to the Galaxy,the+hitchhikers+guide+to+the+galaxy+2005,tt0371724,7453,0,2005-01-15,104478416,109,6.6,1340,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Sunset Boulevard,sunset+boulevard+1950,tt0043014,599,0,1950-08-10,5000000,110,8.2,533,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clockers,clockers+1995,tt0112688,20649,0,1995-09-15,13071518,128,6.8,69,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Nashville,nashville+1975,tt0073440,3121,0,1975-06-11,0,159,7.2,79,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Jiro Dreams of Sushi,jiro+dreams+of+sushi+2011,tt1772925,80767,0,2011-06-11,2550508,82,7.8,239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Sound of Thunder,a+sound+of+thunder+2005,tt0318081,10077,0,2005-05-15,5989640,110,4.8,111,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
A Mighty Heart,a+mighty+heart+2007,tt0829459,1988,0,2007-01-01,18928871,100,6.7,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Visitors,the+visitors+1993,tt0108500,11687,0,1993-01-27,0,107,7.1,433,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Baraka,baraka+1992,tt0103767,14002,0,1992-09-15,0,96,8.0,156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Searchers,the+searchers+1956,tt0049730,3114,0,1956-03-13,0,119,7.7,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Double Indemnity,double+indemnity+1944,tt0036775,996,0,1944-04-24,2500000,107,8.0,425,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
The Eagle Has Landed,the+eagle+has+landed+1976,tt0074452,11372,0,1976-12-24,0,135,6.4,77,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
The Paper Chase,the+paper+chase+1973,tt0070509,14328,0,1973-10-16,0,113,6.7,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Milk Money,milk+money+1994,tt0110516,8986,0,1994-08-31,18137661,108,5.6,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shaft,shaft+2000,tt0162650,479,0,2000-06-15,107196498,99,5.5,316,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Like Father Like Son,like+father+like+son+1987,tt0093418,36914,0,1987-10-02,34377585,96,5.3,39,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Breach,breach+2007,tt0401997,4169,0,2007-02-12,33231264,110,6.5,174,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Hatari!,hatari+1962,tt0056059,11385,0,1962-06-19,0,157,6.2,50,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Six-String Samurai,six-string+samurai+1998,tt0118736,24746,0,1998-09-18,124494,91,5.8,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Antichrist,antichrist+2009,tt0870984,17609,0,2009-05-18,791867,108,6.4,687,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
The Seven Year Itch,the+seven+year+itch+1955,tt0048605,10653,0,1955-06-01,0,105,7.0,184,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Remember the Titans,remember+the+titans+2000,tt0210945,10637,0,2000-09-29,136706683,113,7.4,835,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr. & Mrs. Smith,mr.++mrs.+smith+1941,tt0033922,24197,0,1941-01-30,0,95,5.7,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Five Easy Pieces,five+easy+pieces+1970,tt0065724,26617,0,1970-09-12,0,98,7.2,114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
There Will Be Blood,there+will+be+blood+2007,tt0469494,7345,0,2007-12-28,77208711,158,7.9,1581,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Something to Talk About,something+to+talk+about+1995,tt0114496,18402,0,1995-08-04,50892160,106,5.7,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big Sleep,the+big+sleep+1978,tt0077234,1815,0,1978-03-13,0,100,6.0,13,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Kids,kids+1995,tt0113540,9344,0,1995-07-28,7412216,91,6.8,280,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mummy,the+mummy+1959,tt0053085,18990,0,1959-09-29,0,86,6.8,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paris  je t'aime,paris_+je+taime+2006,tt0401711,2266,0,2006-05-16,4857367,120,6.7,213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Pelican Brief,the+pelican+brief+1993,tt0107798,9944,0,1993-12-16,195268056,141,6.3,377,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
The Lawnmower Man,the+lawnmower+man+1992,tt0104692,10163,0,1992-03-05,32101000,108,5.4,198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Shrek 2,shrek+2+2004,tt0298148,809,0,2004-05-19,919838758,93,6.7,3082,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dreamgirls,dreamgirls+2006,tt0443489,1125,0,2006-12-25,154937680,134,6.6,292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleepy Hollow,sleepy+hollow+1999,tt0162661,2668,0,1999-11-18,206071502,105,6.9,1774,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
The Hunger Games: Mockingjay - Part 1,the+hunger+games+mockingjay+-+part+1+2014,tt1951265,131631,0,2014-11-18,752100229,123,6.6,5767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Karate Kid  Part II,the+karate+kid_+part+ii+1986,tt0091326,8856,0,1986-06-18,115103979,113,5.9,457,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
The Dark Crystal,the+dark+crystal+1982,tt0083791,11639,0,1982-12-17,40577001,93,7.3,233,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Broadcast News,broadcast+news+1987,tt0092699,12626,0,1987-12-16,51249404,133,6.8,101,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Repulsion,repulsion+1965,tt0059646,11481,0,1965-06-01,0,105,7.5,218,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
The Secret Garden,the+secret+garden+1993,tt0108071,11236,0,1993-08-13,0,102,7.1,232,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Pleasantville,pleasantville+1998,tt0120789,2657,0,1998-09-17,0,124,7.1,498,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Titanica,titanica+1995,tt0105601,45929,0,1995-04-01,0,95,6.0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scary Movie,scary+movie+2000,tt0175142,4247,0,2000-07-07,278019771,88,6.0,1468,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babel,babel+2006,tt0449467,1164,0,2006-09-08,135330182,143,6.9,1083,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercury Rising,mercury+rising+1998,tt0120749,8838,0,1998-04-03,0,111,6.0,374,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Pretty in Pink,pretty+in+pink+1986,tt0091790,11522,0,1986-02-28,40471663,96,6.6,313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Footloose,footloose+1984,tt0087277,1788,0,1984-02-17,80035402,107,6.4,525,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Shadowlands,shadowlands+1993,tt0108101,10445,0,1993-12-25,0,131,6.8,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Quick and the Dead,the+quick+and+the+dead+1995,tt0114214,12106,0,1995-02-09,18552460,107,6.2,431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Logan's Run,logans+run+1976,tt0074812,10803,0,1976-06-23,25000000,119,6.6,272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Cobb,cobb+1994,tt0109450,29973,0,1994-12-02,1007583,128,6.1,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Object of My Affection,the+object+of+my+affection+1998,tt0120772,17127,0,1998-04-17,46905889,111,5.6,75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Deep Rising,deep+rising+1998,tt0118956,9457,0,1998-01-30,11203026,106,6.0,155,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Lady and the Tramp,lady+and+the+tramp+1955,tt0048280,10340,0,1955-06-16,93600000,76,6.9,1241,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Grand Budapest Hotel,the+grand+budapest+hotel+2014,tt2278388,120467,0,2014-02-26,174600318,99,8.0,4644,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Highlander: The Final Dimension,highlander+the+final+dimension+1994,tt0110027,8011,0,1994-11-29,36800000,99,4.5,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bull Durham,bull+durham+1988,tt0094812,287,0,1988-06-15,50888000,108,6.6,154,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Captain America: The First Avenger,captain+america+the+first+avenger+2011,tt0458339,1771,0,2011-07-22,370569774,124,6.6,7174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Desperately Seeking Susan,desperately+seeking+susan+1985,tt0089017,8130,0,1985-03-29,27400000,104,6.0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lion in Winter,the+lion+in+winter+1968,tt0063227,18988,0,1968-01-01,0,134,7.6,89,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Madagascar,madagascar+2005,tt0351283,953,0,2005-05-25,532680671,86,6.6,3322,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sympathy for Mr. Vengeance,sympathy+for+mr.+vengeance+2002,tt0310775,4689,0,2002-03-29,1954937,121,7.3,302,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
River's Edge,rivers+edge+1986,tt0091860,21309,0,1986-08-27,0,99,6.7,59,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Night at the Museum,night+at+the+museum+2006,tt0477347,1593,0,2006-10-20,574480841,108,6.4,2949,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
